Class code,Class,Sample,Session.Sample,R,G,B
1,LL,1,1.1,0.234908209,0.097695964,0.073699619
1,LL,2,1.2,0.057920093,0.022792266,0.024603164
2,G,3,1.3,0.027110739,0.015326378,0.021250086
3,W,4,1.4,0.158421471,0.045937366,0.040228923
2,G,5,1.5,0.040249991,0.021445418,0.028523554
3,W,6,1.6,0.304292753,0.107990387,0.095704595
3,W,7,1.7,0.284427385,0.101306488,0.071773104
3,W,8,1.8,0.213915864,0.085928218,0.074566218
1,LL,9,1.9,0.181787218,0.070278253,0.056992193
2,G,10,1.10,0.025686714,0.011707619,0.01775023
3,W,11,1.11,0.129163367,0.066118462,0.054888957
2,G,12,1.12,0.063535854,0.027453755,0.034293058
2,G,13,1.13,0.04085433,0.023319087,0.028484933
2,G,14,1.14,0.064378945,0.041788847,0.045743057
1,LL,15,1.15,0.207225903,0.080563395,0.050455502
3,W,16,1.16,0.478239891,0.063357343,0.044323177
1,LL,17,1.17,0.186066021,0.086331946,0.065734662
2,G,18,1.18,0.075443163,0.057430596,0.047049753
2,G,19,1.19,0.038371795,0.019330788,0.022144573
2,G,20,1.20,0.332522568,0.133968175,0.072718631
3,W,21,1.21,0.416406705,0.27340018,0.206675718
1,LL,22,1.22,0.057349543,0.018773844,0.020060696
3,W,23,1.23,0.071011982,0.01729813,0.022170366
2,G,24,1.24,0.011213395,0.006151969,0.015593791
2,G,25,1.25,0.105488523,0.041685948,0.046178674
3,W,26,1.26,0.465605602,0.140523586,0.117510021
2,G,27,1.27,0.029025185,0.018797455,0.02485908
3,W,28,1.28,0.091112166,0.015557333,0.019358069
3,W,29,1.29,0.155712496,0.048923588,0.039529659
1,LL,30,1.30,0.154595454,0.051023168,0.044215839
1,LL,31,1.31,0.109763884,0.040643459,0.040131398
4,BP,34,1.34,0.217466232,0.156361474,0.122697107
6,AP,35,1.35,0.070236417,0.027746971,0.028553674
4,BP,36,1.36,0.157653604,0.131238807,0.09300084
4,BP,37,1.37,0.065208279,0.042703016,0.040548346
5,MP,38,1.38,0.12017072,0.059188181,0.050482801
7,RP,39,1.39,0.023480298,0.013450614,0.019494855
8,RU,41,1.41,0.345733364,0.320355662,0.24658141
7,RP,42,1.42,0.239773245,0.152488563,0.113560895
8,RU,43,1.43,0.515309839,0.429188922,0.362209985
4,BP,44,1.44,0.178715598,0.161542522,0.127424293
4,BP,47,1.47,0.121481558,0.077362446,0.065117025
5,MP,48,1.48,0.069527241,0.029958893,0.026334737
5,MP,56,1.56,0.094688444,0.041444346,0.034501591
5,MP,57,1.57,0.101629735,0.038565686,0.027767609
6,AP,58,1.58,0.045490612,0.021222476,0.025622242
5,MP,59,1.59,0.070013921,0.034548595,0.030908415
1,LL,1,2.1,0.111338531,0.039845272,0.043190825
1,LL,2,2.2,0.114595336,0.059851861,0.065255231
2,G,3,2.3,0.032415228,0.020246031,0.032012982
3,W,4,2.4,0.131004383,0.050064653,0.059687495
2,G,5,2.5,0.042689002,0.027039618,0.040438182
3,W,6,2.6,0.466163267,0.233327903,0.225084364
3,W,7,2.7,0.266862801,0.122680357,0.106057058
3,W,8,2.8,0.240598628,0.099830064,0.094827418
1,LL,9,2.9,0.019548474,0.009843884,0.026035841
2,G,10,2.10,0.029963486,0.019052204,0.030674438
3,W,11,2.11,0.069217933,0.037471591,0.04453181
2,G,12,2.12,0.045802794,0.023272616,0.035218119
2,G,13,2.13,0.066695246,0.041899495,0.053153835
2,G,14,2.14,0.044157183,0.031329512,0.046824962
1,LL,15,2.15,0.343836304,0.240304723,0.194078334
3,W,16,2.16,0.20356604,0.066204184,0.070876408
1,LL,17,2.17,0.252945285,0.135206307,0.111336563
2,G,18,2.18,0.105634169,0.090771515,0.079231255
2,G,19,2.19,0.059291777,0.034345067,0.042426198
2,G,20,2.20,0.362681473,0.16546458,0.116009942
3,W,21,2.21,0.5534473,0.387416235,0.311143383
1,LL,22,2.22,0.045106799,0.022608505,0.032933036
3,W,23,2.23,0.006083494,0.003894112,0.024968808
2,G,24,2.24,0.015245886,0.009642492,0.026474536
2,G,25,2.25,0.004685029,0.002654168,0.024968808
3,W,26,2.26,0.004026111,0.002503342,0.024922702
2,G,27,2.27,0.011923708,0.010392443,0.026224623
3,W,28,2.28,0.036067422,0.013058323,0.028021909
3,W,29,2.29,0.020342635,0.010872751,0.026309688
1,LL,30,2.30,0.035158881,0.007637086,0.025000443
1,LL,31,2.31,0.019810547,0.010125143,0.026876408
4,BP,34,2.34,0.295713001,0.245045537,0.207748648
6,AP,35,2.35,0.095481474,0.043456352,0.048404034
4,BP,36,2.36,0.214367491,0.205652293,0.157459046
4,BP,37,2.37,0.088668017,0.066905032,0.068708822
5,MP,38,2.38,0.163382309,0.092716133,0.08552156
7,RP,39,2.39,0.03192398,0.021079985,0.0330518
8,RU,41,2.41,0.470220621,0.502150535,0.417483615
7,RP,42,2.42,0.32602217,0.23891044,0.192291696
8,RU,43,2.43,0.77478963,0.74720382,0.680238145
4,BP,44,2.44,0.188226693,0.189752654,0.165845639
4,BP,47,2.47,0.136519878,0.08785648,0.07999235
5,MP,48,2.48,0.141035384,0.077282379,0.073163447
5,MP,56,2.56,0.110417874,0.054856963,0.053233597
5,MP,57,2.57,0.105276783,0.048201291,0.046715337
6,AP,58,2.58,0.078981931,0.044564202,0.056646567
5,MP,59,2.59,0.081840936,0.046014985,0.048300814
